Designator,Mid X,Mid Y,Rotation,Layer
C1,152.019817,-126.034312,270.0,top
C10,134.015,-77.94,180.0,top
C13,158.765,-109.94,180.0,top
C14,147.8525,-100.19,90.0,top
C15,144.75,-101.0,0.0,top
C16,144.8525,-107.69,0.0,top
C17,146.3525,-105.19,270.0,top
C18,147.8525,-105.19,270.0,top
C19,144.75,-102.75,0.0,top
C2,158.882317,-115.534312,0.0,top
C20,134.015,-82.69,0.0,top
C21,134.015,-87.19,0.0,top
C22,144.765,-134.19,180.0,top
C23,150.019817,-131.034312,0.0,top
C24,142.2,-123.0,270.0,top
C25,148.6,-123.8,90.0,top
C3,158.019817,-113.121812,90.0,top
C4,134.765,-135.44,0.0,top
C5,142.765,-131.44,90.0,top
C6,133.019817,-119.034312,0.0,top
C7,136.519817,-119.034312,180.0,top
C8,134.015,-80.94,0.0,top
C9,134.015,-76.44,180.0,top
D1,161.019817,-113.121812,90.0,top
D2,151.5,-118.5,90.0,top
D3,134.015,-88.69,0.0,top
D4,151.519817,-109.034312,180.0,top
J1,157.019817,-130.034312,90.0,top
J2,133.5,-112.5,270.0,top
J4,146.25,-140.0,0.0,top
J5,134.019817,-102.034312,270.0,top
J6,152.015,-103.945,180.0,top
JP7,147.015,-104.19,90.0,bottom
Q1,159.019817,-121.034312,90.0,top
Q2,155.0,-118.25,0.0,top
R1,139.980183,-109.010688,90.0,top
R10,139.75,-105.0,90.0,top
R11,138.25,-105.0,270.0,top
R13,150.019817,-132.534312,180.0,top
R14,134.015,-94.44,180.0,top
R15,134.015,-95.94,180.0,top
R16,131.5,-85.5,90.0,bottom
R17,134.015,-84.19,0.0,top
R18,134.015,-85.69,0.0,top
R19,134.015,-90.19,0.0,top
R2,139.980183,-115.510688,270.0,top
R20,156.019817,-109.121812,270.0,top
R21,145.6,-126.0,0.0,top
R3,152.0,-122.25,270.0,top
R4,155.519817,-124.534312,180.0,top
R5,159.519817,-113.121812,90.0,top
R6,148.519817,-116.534312,90.0,top
R7,136.519817,-121.534312,270.0,top
R8,135.519817,-124.034312,180.0,top
R9,134.015,-79.44,180.0,top
R_PROG1,148.519817,-113.121812,270.0,top
SW1,158.75,-106.25,90.0,top
U1,146.265,-81.5,0.0,top
U10,145.4,-123.85,0.0,top
U2,144.8525,-98.19,0.0,top
U3,143.8525,-105.19,0.0,top
U4,155.019817,-122.034312,180.0,top
U5,153.419817,-113.821812,0.0,top
U6,137.265,-130.94,0.0,top
U7,133.519817,-121.534312,0.0,top
U8,146.019817,-132.034312,0.0,top
U9,141.0,-112.5,0.0,top
Y1,137.0,-85.59,180.0,bottom
